"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시 동대문구 답십리제1동(1123060000)","28,013","28,013","2,384","1,948","3,836","4,795","4,719","4,048","3,513","1,784","867","111","8"
"서울특별시 동대문구 답십리제2동(1123061000)","27,642","27,642","1,613","1,755","3,253","4,223","3,851","4,624","4,441","2,476","1,255","150","1"
"서울특별시 동대문구 장안제1동(1123065000)","37,763","37,763","2,184","2,558","4,976","6,035","6,151","5,824","5,621","3,072","1,198","135","9"
"서울특별시 동대문구 장안제2동(1123066000)","32,464","32,464","2,511","2,840","3,710","4,706","5,716","5,020","4,459","2,437","953","109","3"
"서울특별시 동대문구 청량리동(1123070500)","18,884","18,884","652","971","2,257","2,130","2,218","3,125","3,802","2,368","1,179","180","2"
"서울특별시 동대문구 회기동(1123071000)","10,476","10,476","319","754","3,490","1,434","1,181","1,226","970","634","410","56","2"
"서울특별시 동대문구 휘경제1동(1123072000)","13,903","13,903","718","817","3,723","2,101","1,631","1,890","1,518","963","472","67","3"
"서울특별시 동대문구 휘경제2동(1123073000)","24,417","24,417","1,002","1,969","5,907","3,031","3,201","3,543","2,988","1,833","843","98","2"
"서울특별시 동대문구 이문제1동(1123074000)","17,844","17,844","572","1,210","5,076","2,069","2,036","2,501","2,090","1,376","825","86","3"
"서울특별시 동대문구 이문제2동(1123075000)","19,510","19,510","1,008","1,634","2,667","2,369","2,805","3,313","2,870","1,849","899","95","1"
"서울특별시 중랑구 (1126000000)","384,272","384,272","19,782","24,519","51,235","57,649","54,084","65,038","62,963","32,653","14,528","1,762","59"
"서울특별시 중랑구 면목제2동(1126052000)","23,771","23,771","1,013","1,376","2,986","3,369","3,289","4,504","4,100","2,082","933","117","2"
"서울특별시 중랑구 면목제4동(1126054000)","18,345","18,345","883","1,148","2,256","2,467","2,725","3,206","3,000","1,836","745","75","4"
"서울특별시 중랑구 면목제5동(1126055000)","14,636","14,636","1,347","839","1,564","2,490","2,398","2,373","2,095","1,032","450","46","2"
"서울특별시 중랑구 면목본동(1126056500)","32,932","32,932","1,250","1,666","4,871","5,280","4,504","5,922","5,263","2,808","1,225","140","3"
"서울특별시 중랑구 면목제7동(1126057000)","21,406","21,406","1,055","1,096","2,822","3,257","2,905","3,658","3,683","2,012","807","109","2"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,605","24,605","958","1,278","3,447","3,534","3,238","4,442","4,337","2,258","1,003","108","2"
"서울특별시 중랑구 상봉제1동(1126058000)","23,375","23,375","1,528","1,778","3,043","3,429","3,318","3,961","3,753","1,683","789","92","1"
"서울특별시 중랑구 상봉제2동(1126059000)","20,221","20,221","746","661","4,063","4,724","2,466","2,908","2,638","1,357","562","88","8"
"서울특별시 중랑구 중화제1동(1126060000)","18,934","18,934","970","1,188","2,380","3,062","2,630","2,978","3,257","1,722","682","63","2"
"서울특별시 중랑구 중화제2동(1126061000)","24,196","24,196","896","1,023","3,373","3,642","3,109","4,359","4,435","2,176","1,083","99","1"
"서울특별시 중랑구 묵제1동(1126062000)","33,872","33,872","1,803","2,961","4,791","4,537","5,260","5,501","4,924","2,754","1,210","128","3"
"서울특별시 중랑구 묵제2동(1126063000)","18,333","18,333","830","1,064","2,494","2,715","2,660","3,096","3,039","1,649","712","71","3"
"서울특별시 중랑구 망우본동(1126065500)","35,602","35,602","2,430","2,087","4,546","5,820","4,922","5,558","5,879","2,860","1,313","179","8"
"서울특별시 중랑구 망우제3동(1126066000)","15,836","15,836","588","903","2,088","1,952","1,994","3,053","2,967","1,515","660","115","1"
"서울특별시 중랑구 신내1동(1126068000)","38,314","38,314","2,458","3,924","4,346","4,650","5,792","6,168","6,166","3,107","1,479","216","8"
